"시도별","경제활동별",2024 p),2024 p),2024 p)
"시도별","경제활동별",명목,실질,실질기여도
"세종특별자치시","사업서비스업",898198,762441,0.02
"세종특별자치시","전문, 과학 및 기술 서비스업",590859,491594,0.18
"세종특별자치시","사업시설 관리, 사업 지원 및 임대 서비스업",307339,271102,-0.16
"세종특별자치시","공공 행정, 국방 및 사회보장 행정",4894424,4289335,-0.11
"세종특별자치시","교육 서비스업",1158434,1063526,0.16
"세종특별자치시","보건업 및 사회복지 서비스업",640452,605342,0.38
"세종특별자치시","문화 및 기타서비스업",432302,377805,0.01
"세종특별자치시","수도, 하수 및 폐기물 처리, 원료 재생업",111935,104619,-0.01
"세종특별자치시","예술, 스포츠 및 여가관련 서비스",155778,139494,0.00
"세종특별자치시","협회 및 단체, 수리 및 기타 개인 서비스업",164589,133853,0.03
"경기도","지역내총생산(시장가격)",651417234,597825993,3.55
"경기도","순생산물세",39195077,35282399,0.04
"경기도","총부가가치(기초가격)",612222157,562810623,3.51
"경기도","농업, 임업 및 어업",3032599,2905281,0.00
"경기도","광제조업",239108537,231783008,3.02
"경기도","광업",303617,224480,-0.01
"경기도","제조업",238804920,231591637,3.04
"경기도","음식료품 및 담배제조업",8483618,7743779,0.07
"경기도","섬유 의복 및 가죽 제품 제조업",3789144,3290749,0.00
"경기도","목재종이인쇄 및 복제업",6262699,5271947,0.01
"경기도","석탄 및 석유 화학제품 제조업",24574075,22930727,0.12
"경기도","비금속광물 및 금속제품 제조업",23245492,13822064,0.00
"경기도","전기 전자 및 정밀기기 제조업",127595479,141860175,2.64
"경기도","기계 운송장비 및 기타 제품 제조업",44854413,41048154,0.19
"경기도","전기, 가스, 증기 및 공기 조절 공급업",8669230,6379501,-0.01
"경기도","건설업",34537805,29725667,-0.46
"경기도","서비스업",326873986,294416429,0.96
"경기도","도매 및 소매업",47218833,40743574,-0.04
"경기도","운수 및 창고업",23061440,24108181,0.45
"경기도","숙박 및 음식점업",14395198,10886075,-0.05
"경기도","정보통신업",31683698,28182748,0.17
"경기도","금융 및 보험업",21408423,19268424,0.06
